,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,"2,30g",-
3,Carboidrati disponibili,"6,40g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,"6,40g",-
6,Proteine,"5,60g",-
7,Grassi (Lipidi),62g,-
8,Saturi totali,"54,80g",-
9,Monoinsaturi totali,"4,22g",-
10,Polinsaturi totali,"1,08g",-
11,Colesterolo,0,-
12,Fibra totale,"13,70g",-
13,Fibra solubile,,-
14,Fibra insolubile,,-
15,Alcol (g),0,-
16,Sodio,28mg,1.87% RDA
17,Potassio,660mg,14.04% RDA
18,Ferro,"3,60mg",45% RDA
19,Calcio,23mg,2.30% RDA
20,Fosforo,160mg,22.86% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),"0,03mg",2.50% RDA
26,Riboflavina (Vit. B2),"0,05mg",3.85% RDA
27,Niacina (Vit. B3 o PP),"0,90mg",5.63% RDA
28,Vitamina A retinolo eq.,0µg,0% RDA
29,Vitamina C,0mg,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
