,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,70g,-
3,Carboidrati disponibili,17g,-
4,Carboidrati complessi,"14,40g",-
5,Zuccheri solubili,"1,20g",-
6,Proteine,"7,90g",-
7,Grassi (Lipidi),"0,70g",-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,0,-
12,Fibra totale,"7,80g",-
13,Fibra solubile,"1,05g",-
14,Fibra insolubile,"6,78g",-
15,Alcol (g),0,-
16,Sodio,ND,-
17,Potassio,ND,-
18,Ferro,2mg,25% RDA
19,Calcio,ND,-
20,Fosforo,ND,-
21,Magnesio,ND,-
22,Zinco,"0,20mg",1.82% RDA
23,Rame,ND,-
24,Selenio,"1,40µg",2.55% RDA
25,Tiamina (Vit. B1),ND,-
26,Riboflavina (Vit. B2),ND,-
27,Niacina (Vit. B3 o PP),ND,-
28,Vitamina A retinolo eq.,ND,-
29,Vitamina C,0mg,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
