,0,1,2
0,Composizione chimica,valore per 100g,g/100g Proteine
1,Proteine (%):,"5,70%",
2,Acido aspartico,737g,12.89
3,Acido glutamico,928g,16.22
4,Alanina,243g,4.25
5,Aminoacido limitante,0g,ND
6,Arginina,333g,5.83
7,Cistina,64g,1.12
8,Fenilalanina,341g,5.96
9,Glicina,219g,3.83
10,Indice chimico,93g,ND
11,Isoleucina,307g,5.37
12,Istidina,157g,2.74
13,Leucina,494g,8.64
14,Lisina,405g,7.08
15,Metionina,69g,1.20
16,Prolina,252g,4.40
17,Serina,351g,6.14
18,Tirosina,193g,3.37
19,Treonina,238g,4.16
20,Triptofano,61g,1.07
21,Valina,348g,6.08
