,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,"14,20g",-
3,Carboidrati disponibili,"77,30g",-
4,Carboidrati complessi,"68,70g",-
5,Zuccheri solubili,"1,70g",-
6,Proteine,11g,-
7,Grassi (Lipidi),"0,70g",-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,0,-
12,Fibra totale,"2,20g",-
13,Fibra solubile,"0,84g",-
14,Fibra insolubile,"1,41g",-
15,Alcol (g),0,-
16,Sodio,3mg,0.20% RDA
17,Potassio,126mg,2.68% RDA
18,Ferro,"0,70mg",8.75% RDA
19,Calcio,17mg,1.70% RDA
20,Fosforo,76mg,10.86% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),"0,10mg",8.33% RDA
26,Riboflavina (Vit. B2),"0,03mg",2.31% RDA
27,Niacina (Vit. B3 o PP),1mg,6.25% RDA
28,Vitamina A retinolo eq.,0µg,0% RDA
29,Vitamina C,0mg,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
