,0,1,2
0,Composizione chimica,valore per 100g,g/100g Proteine
1,Proteine (%):,"11,30%",
2,Acido aspartico,552g,4.88
3,Acido glutamico,3966g,35.10
4,Alanina,359g,3.18
5,Aminoacido limitante,Lisina,ND
6,Arginina,458g,4.05
7,Cistina,260g,2.30
8,Fenilalanina,595g,5.27
9,Glicina,426g,3.77
10,Indice chimico,28g,ND
11,Isoleucina,427g,3.78
12,Istidina,235g,2.08
13,Leucina,830g,7.35
14,Lisina,186g,1.65
15,Metionina,173g,1.53
16,Prolina,1239g,10.96
17,Serina,498g,4.41
18,Tirosina,297g,2.63
19,Treonina,249g,2.20
20,Triptofano,112g,0.99
21,Valina,540g,4.78
