,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,"81,20g",-
3,Carboidrati disponibili,"2,90g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,"2,90g",-
6,Proteine,"16,50g",-
7,Grassi (Lipidi),"0,90g",-
8,Saturi totali,"0,27g",-
9,Monoinsaturi totali,"0,27g",-
10,Polinsaturi totali,"0,37g",-
11,Colesterolo,150mg,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,375mg,25% RDA
17,Potassio,75mg,1.60% RDA
18,Ferro,"2,60mg",32.50% RDA
19,Calcio,128mg,12.80% RDA
20,Fosforo,150mg,21.43% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),Tracce,0% RDA
26,Riboflavina (Vit. B2),"0,02mg",1.54% RDA
27,Niacina (Vit. B3 o PP),"0,50mg",3.13% RDA
28,Vitamina A retinolo eq.,Tracce,0% RDA
29,Vitamina C,Tracce,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
