,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,50%,-
2,Acqua,"3,90g",-
3,Carboidrati disponibili,"8,10g",-
4,Carboidrati complessi,"3,30g",-
5,Zuccheri solubili,"4,50g",-
6,Proteine,"18,10g",-
7,Grassi (Lipidi),"56,10g",-
8,Saturi totali,"5,61g",-
9,Monoinsaturi totali,"36,47g",-
10,Polinsaturi totali,"10,66g",-
11,Colesterolo,0,-
12,Fibra totale,"10,60g",-
13,Fibra solubile,,-
14,Fibra insolubile,,-
15,Alcol (g),0,-
16,Sodio,1mg,0.07% RDA
17,Potassio,972mg,20.68% RDA
18,Ferro,"7,30mg",91.25% RDA
19,Calcio,131mg,13.10% RDA
20,Fosforo,500mg,71.43% RDA
21,Magnesio,158mg,37.62% RDA
22,Zinco,"2,37mg",21.55% RDA
23,Rame,"0,75mg",75% RDA
24,Selenio,8µg,14.55% RDA
25,Tiamina (Vit. B1),"0,67mg",55.83% RDA
26,Riboflavina (Vit. B2),"0,10mg",7.69% RDA
27,Niacina (Vit. B3 o PP),"1,40mg",8.75% RDA
28,Vitamina A retinolo eq.,43µg,4.78% RDA
29,Vitamina C,2mg,2.22% RDA
30,Vitamina E,4mg,26.67% RDA
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
