,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,66%,-
2,Acqua,77g,-
3,Carboidrati disponibili,0,-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,0,-
6,Proteine,"18,50g",-
7,Grassi (Lipidi),"3,70g",-
8,Saturi totali,"1,08g",-
9,Monoinsaturi totali,"1,06g",-
10,Polinsaturi totali,"0,98g",-
11,Colesterolo,88mg,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,86mg,5.73% RDA
17,Potassio,355mg,7.55% RDA
18,Ferro,1mg,12.50% RDA
19,Calcio,13mg,1.30% RDA
20,Fosforo,ND,-
21,Magnesio,23mg,5.48% RDA
22,Zinco,"1,90mg",17.27% RDA
23,Rame,"0,16mg",16% RDA
24,Selenio,10µg,18.18% RDA
25,Tiamina (Vit. B1),ND,-
26,Riboflavina (Vit. B2),ND,-
27,Niacina (Vit. B3 o PP),ND,-
28,Vitamina A retinolo eq.,Tracce,0% RDA
29,Vitamina C,0mg,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
