,0,1,2
0,Composizione chimica,valore per 100g,g/100g Proteine
1,Proteine (%):,"18,70%",
2,Acido aspartico,1833g,9.80
3,Acido glutamico,2798g,14.96
4,Alanina,1174g,6.28
5,Aminoacido limitante,Trip.,ND
6,Arginina,1245g,6.66
7,Cistina,223g,1.19
8,Fenilalanina,767g,4.10
9,Glicina,952g,5.09
10,Indice chimico,94g,ND
11,Isoleucina,896g,4.79
12,Istidina,555g,2.97
13,Leucina,1509g,8.07
14,Lisina,1689g,9.03
15,Metionina,582g,3.11
16,Prolina,774g,4.14
17,Serina,868g,4.64
18,Tirosina,645g,3.45
19,Treonina,911g,4.87
20,Triptofano,193g,1.03
21,Valina,980g,5.24
