,0,1,2
0,Composizione chimica,valore per 100g,g/100g Proteine
1,Proteine (%):,"16,90%",
2,Acido aspartico,1771g,11.14
3,Acido glutamico,2663g,16.75
4,Alanina,987g,6.21
5,Aminoacido limitante,Trip.,ND
6,Arginina,1021g,6.42
7,Cistina,132g,0.83
8,Fenilalanina,646g,4.06
9,Glicina,716g,4.50
10,Indice chimico,100g,ND
11,Isoleucina,817g,5.14
12,Istidina,455g,2.86
13,Leucina,1336g,8.40
14,Lisina,1620g,10.19
15,Metionina,394g,2.48
16,Prolina,572g,3.60
17,Serina,771g,4.85
18,Tirosina,623g,3.92
19,Treonina,793g,4.99
20,Triptofano,217g,1.36
21,Valina,903g,5.68
