,0,1,2
0,Composizione chimica,valore per 100g,g/100g Proteine
1,Proteine (%):,"17,90%",
2,Acido aspartico,1765g,9.86
3,Acido glutamico,2619g,14.63
4,Alanina,1106g,6.18
5,Aminoacido limitante,Trip.,ND
6,Arginina,1240g,6.93
7,Cistina,209g,1.17
8,Fenilalanina,702g,3.92
9,Glicina,933g,5.21
10,Indice chimico,86g,ND
11,Isoleucina,895g,5
12,Istidina,512g,2.86
13,Leucina,1414g,7.90
14,Lisina,1591g,8.89
15,Metionina,532g,2.97
16,Prolina,752g,4.20
17,Serina,811g,4.53
18,Tirosina,584g,3.26
19,Treonina,863g,4.82
20,Triptofano,170g,0.95
21,Valina,918g,5.13
