,0,1,2
0,Composizione chimica,valore per 100g,g/100g Proteine
1,Proteine (%):,"20,30%",
2,Acido aspartico,ND,ND
3,Acido glutamico,ND,ND
4,Alanina,ND,ND
5,Aminoacido limitante,Trip.,ND
6,Arginina,ND,ND
7,Cistina,ND,ND
8,Fenilalanina,1652g,8.14
9,Glicina,ND,ND
10,Indice chimico,100g,ND
11,Isoleucina,974g,4.80
12,Istidina,861g,4.24
13,Leucina,1565g,7.71
14,Lisina,1908g,9.40
15,Metionina,993g,4.89
16,Prolina,ND,ND
17,Serina,ND,ND
18,Tirosina,ND,ND
19,Treonina,893g,4.40
20,Triptofano,248g,1.22
21,Valina,1167g,5.75
