,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,50g,-
3,Carboidrati disponibili,0,-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,0,-
6,Proteine,"21,40g",-
7,Grassi (Lipidi),"25,90g",-
8,Saturi totali,"8,48g",-
9,Monoinsaturi totali,"12,71g",-
10,Polinsaturi totali,"3,44g",-
11,Colesterolo,95mg,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,699mg,46.60% RDA
17,Potassio,95mg,2.02% RDA
18,Ferro,"1,40mg",17.50% RDA
19,Calcio,20mg,2% RDA
20,Fosforo,96mg,13.71% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),"0,27mg",22.50% RDA
26,Riboflavina (Vit. B2),"0,28mg",21.54% RDA
27,Niacina (Vit. B3 o PP),ND,-
28,Vitamina A retinolo eq.,Tracce,0% RDA
29,Vitamina C,0mg,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
