0,1,2
Calorie,kcal,46.0
Calorie,kj,192.0
Grassi,g,0.44
Carboidrati,g,11.02
Proteine,g,0.92
Fibre,g,1.6
Zuccheri,g,9.02
Acqua,g,87.2
Ceneri,g,0.42
Minerali,,
Calcio,mg,13.0
Sodio,mg,1.0
Fosforo,mg,16.0
Potassio,mg,124.0
Ferro,mg,0.53
Magnesio,mg,9.0
Zinco,mg,0.1
Rame,mg,0.09
Manganese,mg,0.057
Selenio,mcg,0.0
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,870.0
"Vitamina A, RAE",mcg_RAE,44.0
Tiamina (Vit. B1),mg,0.044000000000000004
Riboflavina (Vit. B2),mg,0.034
Niacina (Vit. B3),mg,0.13699999999999998
Acido Pantotenico (Vit. B5),mg,0.17800000000000002
Piridossina (Vit. B6),mg,0.067
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,5.0
"Folato, DFE",mcg_DFE,5.0
"Folati, totali",mcg,5.0
Cobalamina (Vit. B12),mcg,0.0
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,1.7
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Alpha-tocoferolo (Vit. E),mg,0.05
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,1.5
Colina totale (Vit. J),mg,5.6
"Carotene, beta",mcg,522.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,61.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.12
"Acidi grassi, polinsaturi",g,0.132
"Acidi grassi, saturi",g,0.1
Colesterolo,mg,0.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.0
14:0,g,0.003
16:0,g,0.07
18:0,g,0.024
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.001
18:1 indifferenziato,g,0.11900000000000001
20:1,g,0.0
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.067
18:3 indifferenziato,g,0.065
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
