0,1,2
Calorie,kcal,82.0
Calorie,kj,343.0
Grassi,g,1.2
Carboidrati,g,0.0
Proteine,g,16.77
Fibre,g,0.0
Zuccheri,g,0.0
Acqua,g,79.37
Ceneri,g,1.2
Minerali,,
Calcio,mg,60.0
Sodio,mg,94.0
Fosforo,mg,270.0
Potassio,mg,296.0
Ferro,mg,0.83
Magnesio,mg,33.0
Zinco,mg,1.76
Rame,mg,0.685
Manganese,mg,0.522
Selenio,mcg,36.7
Vitamine,,
Retinolo (Vit. A),mcg,15.0
"Vitamina A, IU",IU,50.0
"Vitamina A, RAE",mcg_RAE,15.0
Tiamina (Vit. B1),mg,0.05
Riboflavina (Vit. B2),mg,0.085
Niacina (Vit. B3),mg,2.28
Acido Pantotenico (Vit. B5),mg,0.58
Piridossina (Vit. B6),mg,0.076
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,44.0
"Folato, DFE",mcg_DFE,44.0
"Folati, totali",mcg,44.0
Cobalamina (Vit. B12),mcg,2.15
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.9
Vitamina D (D2+D3),mcg,0.0
Vitamina D3,mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Alpha-tocoferolo (Vit. E),mg,1.5
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,0.1
Colina totale (Vit. J),mg,80.9
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.244
"Acidi grassi, polinsaturi",g,0.36700000000000005
"Acidi grassi, saturi",g,0.18100000000000002
Colesterolo,mg,133.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.0
14:0,g,0.005
16:0,g,0.111
18:0,g,0.049
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.027000000000000003
18:1 indifferenziato,g,0.147
20:1,g,0.012
22:1 indifferenziato,g,0.05
Grassi polinsaturi,,
18:2 indifferenziato,g,0.09
18:3 indifferenziato,g,0.027999999999999997
18:4,g,0.001
20:4 indifferenziato,g,0.055999999999999994
20:5 n-3,g,0.11900000000000001
22:5 n-3,g,0.0
22:6 n-3,g,0.047
Aminoacidi,,
Acido aspartico,g,1.7309999999999999
Acido glutammico,g,2.8560000000000003
Alanina,g,0.9470000000000001
Arginina,g,1.463
Cistina,g,0.188
Fenilalanina,g,0.706
Glicina,g,1.0090000000000001
Isoleucina,g,0.8109999999999999
Istidina,g,0.341
Leucina,g,1.329
Lisina,g,1.4569999999999999
Metionina,g,0.47200000000000003
Prolina,g,0.5529999999999999
Serina,g,0.66
Tirosina,g,0.5579999999999999
Treonina,g,0.6759999999999999
Triptofano,g,0.23399999999999999
Valina,g,0.7859999999999999
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
