0,1,2
Calorie,kcal,116.0
Calorie,kj,485.0
Grassi,g,0.18
Carboidrati,g,31.15
Proteine,g,0.79
Fibre,g,2.3
Zuccheri,g,14.0
Acqua,g,67.3
Ceneri,g,0.58
Minerali,,
Calcio,mg,2.0
Sodio,mg,5.0
Fosforo,mg,28.0
Potassio,mg,465.0
Ferro,mg,0.58
Magnesio,mg,32.0
Zinco,mg,0.13
Rame,mg,0.066
Selenio,mcg,1.4
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,909.0
"Vitamina A, RAE",mcg_RAE,45.0
Tiamina (Vit. B1),mg,0.046
Riboflavina (Vit. B2),mg,0.052000000000000005
Niacina (Vit. B3),mg,0.7559999999999999
Acido Pantotenico (Vit. B5),mg,0.233
Piridossina (Vit. B6),mg,0.24
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,26.0
"Folato, DFE",mcg_DFE,26.0
"Folati, totali",mcg,26.0
Cobalamina (Vit. B12),mcg,0.0
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,10.9
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Alpha-tocoferolo (Vit. E),mg,0.13
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,0.7
Colina totale (Vit. J),mg,12.7
"Carotene, beta",mcg,369.0
"Carotene, alfa",mcg,353.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,28.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.015
"Acidi grassi, polinsaturi",g,0.033
"Acidi grassi, saturi",g,0.069
Colesterolo,mg,0.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.001
14:0,g,0.001
16:0,g,0.047
18:0,g,0.002
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.005
18:1 indifferenziato,g,0.01
20:1,g,0.0
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.021
18:3 indifferenziato,g,0.012
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,0.065
Acido glutammico,g,0.07
Alanina,g,0.031
Arginina,g,0.066
Cistina,g,0.012
Fenilalanina,g,0.027000000000000003
Glicina,g,0.027000000000000003
Isoleucina,g,0.022000000000000002
Istidina,g,0.039
Leucina,g,0.036000000000000004
Lisina,g,0.037000000000000005
Metionina,g,0.01
Prolina,g,0.03
Serina,g,0.025
Tirosina,g,0.02
Treonina,g,0.021
Triptofano,g,0.009000000000000001
Valina,g,0.027999999999999997
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
