0,1,2
Calorie,kcal,376.0
Calorie,kj,1573.0
Grassi,g,0.1
Carboidrati,g,91.2
Proteine,g,2.7
Fibre,g,0.7
Acqua,g,4.8
Ceneri,g,1.1
Minerali,,
Calcio,mg,14.0
Sodio,mg,366.0
Fosforo,mg,39.0
Potassio,mg,5.0
Ferro,mg,1.79
Magnesio,mg,8.0
Zinco,mg,0.31
Rame,mg,0.062
Manganese,mg,0.3
Selenio,mcg,0.5
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,0.0
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.248
Riboflavina (Vit. B2),mg,0.012
Niacina (Vit. B3),mg,2.013
Acido Pantotenico (Vit. B5),mg,0.10800000000000001
Piridossina (Vit. B6),mg,0.013000000000000001
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,1.0
"Folato, DFE",mcg_DFE,1.0
"Folati, totali",mcg,1.0
Cobalamina (Vit. B12),mcg,0.0
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.0
Zuccheri,,
Lipidi,,
Colesterolo,mg,0.0
Grassi saturi,,
Grassi monoinsaturi,,
Grassi polinsaturi,,
Aminoacidi,,
Altro,,
