0,1,2
Calorie,kcal,509.0
Calorie,kj,2130.0
Grassi,g,55.1
Carboidrati,g,0.0
Proteine,g,3.3
Fibre,g,0.0
Zuccheri,g,0.0
Acqua,g,42.1
Ceneri,g,1.0
Minerali,,
Calcio,mg,48.0
Sodio,mg,450.0
Fosforo,mg,34.0
Potassio,mg,71.0
Ferro,mg,1.09
Magnesio,mg,5.0
Zinco,mg,0.26
Rame,mg,0.0
Selenio,mcg,1.0
Vitamine,,
Retinolo (Vit. A),mcg,456.0
"Vitamina A, IU",IU,1698.0
"Vitamina A, RAE",mcg_RAE,465.0
Tiamina (Vit. B1),mg,0.01
Riboflavina (Vit. B2),mg,0.07
Niacina (Vit. B3),mg,0.02
Piridossina (Vit. B6),mg,0.01
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,1.0
"Folato, DFE",mcg_DFE,1.0
"Folati, totali",mcg,1.0
Cobalamina (Vit. B12),mcg,0.13
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.0
Vitamina D (D2+D3),mcg,1.0
Vitamina D3,mcg,1.0
Colecalcifenolo (Vit. D),IU,40.0
Alpha-tocoferolo (Vit. E),mg,1.58
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,4.8
Colina totale (Vit. J),mg,12.9
"Carotene, beta",mcg,107.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,15.927
"Acidi grassi, polinsaturi",g,2.046
"Acidi grassi, saturi",g,34.321
Colesterolo,mg,106.0
Grassi saturi,,
4:0,g,1.788
6:0,g,1.06
8:0,g,0.619
10:0,g,1.38
12:0,g,1.55
14:0,g,5.547000000000001
16:0,g,14.499
18:0,g,6.682
Grassi monoinsaturi,,
16:1 indifferenziato,g,1.237
18:1 indifferenziato,g,13.867
20:1,g,0.0
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,1.244
18:3 indifferenziato,g,0.802
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
