0,1,2
Calorie,kcal,305.0
Calorie,kj,1276.0
Grassi,g,21.92
Carboidrati,g,0.0
Proteine,g,25.16
Fibre,g,0.0
Zuccheri,g,0.0
Acqua,g,51.95
Ceneri,g,0.97
Minerali,,
Calcio,mg,13.0
Sodio,mg,70.0
Fosforo,mg,270.0
Potassio,mg,329.0
Ferro,mg,2.83
Magnesio,mg,22.0
Zinco,mg,2.62
Rame,mg,0.264
Manganese,mg,0.023
Selenio,mcg,21.8
Vitamine,,
Retinolo (Vit. A),mcg,21.0
"Vitamina A, IU",IU,70.0
Betaina,mg,9.2
"Vitamina A, RAE",mcg_RAE,21.0
Tiamina (Vit. B1),mg,0.077
Riboflavina (Vit. B2),mg,0.32299999999999995
Niacina (Vit. B3),mg,4.168
Acido Pantotenico (Vit. B5),mg,1.53
Piridossina (Vit. B6),mg,0.37
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,2.0
"Folato, DFE",mcg_DFE,2.0
"Folati, totali",mcg,2.0
Cobalamina (Vit. B12),mcg,0.41
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.0
Vitamina D (D2+D3),mcg,0.1
Vitamina D3,mcg,0.1
Colecalcifenolo (Vit. D),IU,3.0
Alpha-tocoferolo (Vit. E),mg,1.74
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,5.1
Colina totale (Vit. J),mg,66.5
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,10.25
"Acidi grassi, polinsaturi",g,2.52
"Acidi grassi, saturi",g,6.87
Colesterolo,mg,91.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.04
14:0,g,0.11
16:0,g,4.53
18:0,g,1.81
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.68
18:1 indifferenziato,g,9.52
20:1,g,0.02
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,2.24
18:3 indifferenziato,g,0.18
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,2.262
Acido glutammico,g,3.739
Alanina,g,1.55
Arginina,g,1.5659999999999998
Cistina,g,0.39
Fenilalanina,g,1.055
Glicina,g,1.594
Isoleucina,g,1.183
Istidina,g,0.7
Leucina,g,2.109
Lisina,g,1.9880000000000002
Metionina,g,0.608
Prolina,g,1.216
Serina,g,1.002
Tirosina,g,0.805
Treonina,g,1.123
Triptofano,g,0.332
Valina,g,1.232
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
