0,1,2
Calorie,kcal,371.0
Calorie,kj,1551.0
Grassi,g,13.44
Carboidrati,g,0.0
Proteine,g,62.44
Fibre,g,0.0
Zuccheri,g,0.0
Acqua,g,20.59
Amido,g,0.0
Ceneri,g,5.57
Minerali,,
Calcio,mg,810.0
Sodio,mg,200.0
Fosforo,mg,1040.0
Potassio,mg,1080.0
Ferro,mg,4.1
Magnesio,mg,85.0
Zinco,mg,5.0
Rame,mg,0.18
Manganese,mg,0.23
Selenio,mcg,113.0
Vitamine,,
Retinolo (Vit. A),mcg,39.0
Betaina,mg,88.3
"Vitamina A, IU",IU,131.0
"Vitamina A, RAE",mcg_RAE,39.0
Tiamina (Vit. B1),mg,0.053
Riboflavina (Vit. B2),mg,0.43799999999999994
Niacina (Vit. B3),mg,11.2
Acido Pantotenico (Vit. B5),mg,2.57
Piridossina (Vit. B6),mg,0.365
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,11.0
"Folato, DFE",mcg_DFE,11.0
"Folati, totali",mcg,11.0
Cobalamina (Vit. B12),mcg,18.4
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.0
Alpha-tocoferolo (Vit. E),mg,0.66
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,1.3
Colina totale (Vit. J),mg,205.6
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Tocoferolo beta,mg,0.0
Tocoferolo gamma,mg,0.0
Tocoferolo delta,mg,0.0
Zuccheri,,
Destrosio,g,0.0
Fruttosio,g,0.0
Galattosio,g,0.0
Lattosio,g,0.0
Maltosio,g,0.0
Saccarosio,g,0.0
Lipidi,,
"Acidi grassi, monoinsaturi",g,4.38
"Acidi grassi, polinsaturi",g,2.16
"Acidi grassi, saturi",g,2.85
Colesterolo,mg,266.0
Grassi saturi,,
8:0,g,0.0
10:0,g,0.0
12:0,g,0.06
14:0,g,0.32
15:0,g,0.09
16:0,g,1.9
17:0,g,0.08
18:0,g,0.4
20:0,g,0.0
22:0,g,0.0
24:0,g,0.0
Grassi monoinsaturi,,
14:1,g,0.01
15:1,g,0.02
16:1 indifferenziato,g,1.42
17:1,g,0.0
18:1 indifferenziato,g,2.45
20:1,g,0.39
22:1 indifferenziato,g,0.07
24:1 c,g,0.02
Grassi polinsaturi,,
18:2 indifferenziato,g,0.26
18:3 indifferenziato,g,0.28
18:4,g,0.06
"20:2 n-6 c,c",g,0.05
20:3 indifferenziato,g,0.05
20:4 indifferenziato,g,0.17
20:5 n-3,g,0.42
21:5,g,0.01
22:4,g,0.03
22:5 n-3,g,0.18
22:6 n-3,g,0.65
Aminoacidi,,
Acido aspartico,g,5.67
Acido glutammico,g,8.1
Alanina,g,3.78
Arginina,g,3.61
Cistina,g,0.5
Fenilalanina,g,2.34
Glicina,g,4.37
Isoleucina,g,2.26
Istidina,g,1.3
Leucina,g,4.11
Lisina,g,4.77
Metionina,g,1.74
Prolina,g,2.98
Serina,g,2.34
Tirosina,g,1.74
Treonina,g,2.47
Triptofano,g,0.58
Valina,g,2.61
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
