0,1,2
Calorie,kcal,303.0
Calorie,kj,1268.0
Grassi,g,13.93
Carboidrati,g,29.89
Proteine,g,15.13
Fibre,g,1.0
Zuccheri,g,5.47
Acqua,g,38.7
Ceneri,g,2.38
Minerali,,
Calcio,mg,191.0
Sodio,mg,589.0
Fosforo,mg,159.0
Potassio,mg,190.0
Ferro,mg,2.66
Magnesio,mg,21.0
Zinco,mg,2.2
Rame,mg,0.087
Manganese,mg,0.251
Vitamine,,
"Vitamina A, IU",IU,230.0
Betaina,mg,15.7
Tiamina (Vit. B1),mg,0.259
Riboflavina (Vit. B2),mg,0.299
Niacina (Vit. B3),mg,4.618
Acido Pantotenico (Vit. B5),mg,0.253
Piridossina (Vit. B6),mg,0.138
"Folati, totali",mcg,67.0
Cobalamina (Vit. B12),mcg,1.02
Acido ascorbico (Vit. C),mg,0.0
Colina totale (Vit. J),mg,28.9
Zuccheri,,
Destrosio,g,1.4
Fruttosio,g,2.44
Galattosio,g,0.0
Lattosio,g,0.64
Maltosio,g,0.73
Saccarosio,g,0.27
Lipidi,,
"Acidi grassi, monoinsaturi",g,4.292
"Acidi grassi, polinsaturi",g,0.41700000000000004
"Acidi grassi, saturi",g,5.245
"Acidi grassi, trans",g,0.7140000000000001
Colesterolo,mg,41.0
Grassi saturi,,
Grassi monoinsaturi,,
Grassi polinsaturi,,
Aminoacidi,,
Acido aspartico,g,1.064
Acido glutammico,g,3.102
Alanina,g,0.701
Arginina,g,0.787
Cistina,g,0.16399999999999998
Fenilalanina,g,0.635
Glicina,g,0.7559999999999999
Isoleucina,g,0.618
Istidina,g,0.43799999999999994
Leucina,g,1.135
Lisina,g,0.998
Metionina,g,0.31
Prolina,g,1.128
Serina,g,0.5920000000000001
Tirosina,g,0.483
Treonina,g,0.524
Triptofano,g,0.182
Valina,g,0.7390000000000001
Altro,,
