0,1,2
Calorie,kcal,101.0
Calorie,kj,423.0
Grassi,g,3.27
Carboidrati,g,8.67
Proteine,g,9.73
Acqua,g,76.7
Ceneri,g,1.64
Minerali,,
Calcio,mg,27.0
Sodio,mg,398.0
Fosforo,mg,78.0
Potassio,mg,273.0
Ferro,mg,2.05
Magnesio,mg,18.0
Zinco,mg,1.41
Rame,mg,0.235
Manganese,mg,0.157
Selenio,mcg,17.4
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,657.0
"Vitamina A, RAE",mcg_RAE,33.0
Tiamina (Vit. B1),mg,0.05
Riboflavina (Vit. B2),mg,0.45
Niacina (Vit. B3),mg,0.98
Acido Pantotenico (Vit. B5),mg,1.42
Piridossina (Vit. B6),mg,0.13
Acido folico (Vit. B9 o M o Folacina),mcg,6.0
Folato alimentare,mcg,12.0
"Folato, DFE",mcg_DFE,22.0
"Folati, totali",mcg,18.0
Cobalamina (Vit. B12),mcg,0.45
Acido ascorbico (Vit. C),mg,0.6
Fillochinone (Vit. K),mcg,2.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,1.347
"Acidi grassi, polinsaturi",g,0.209
"Acidi grassi, saturi",g,1.3559999999999999
Colesterolo,mg,53.0
Grassi saturi,,
10:0,g,0.012
12:0,g,0.008
14:0,g,0.08199999999999999
16:0,g,0.9690000000000001
18:0,g,0.285
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.047
18:1 indifferenziato,g,1.3
Grassi polinsaturi,,
18:2 indifferenziato,g,0.12
18:3 indifferenziato,g,0.08900000000000001
Aminoacidi,,
Acido aspartico,g,1.0070000000000001
Acido glutammico,g,1.7080000000000002
Alanina,g,0.54
Arginina,g,0.61
Cistina,g,0.1
Fenilalanina,g,0.4
Glicina,g,0.5820000000000001
Isoleucina,g,0.40299999999999997
Istidina,g,0.284
Leucina,g,0.735
Lisina,g,0.727
Metionina,g,0.19
Prolina,g,0.44299999999999995
Serina,g,0.406
Tirosina,g,0.28300000000000003
Treonina,g,0.392
Triptofano,g,0.11599999999999999
Valina,g,0.45899999999999996
Altro,,
