0,1,2
Calorie,kcal,139.0
Calorie,kj,582.0
Grassi,g,0.7
Carboidrati,g,25.13
Proteine,g,8.98
Fibre,g,5.0
Acqua,g,64.15
Ceneri,g,1.05
Minerali,,
Calcio,mg,26.0
Sodio,mg,6.0
Fosforo,mg,122.0
Potassio,mg,441.0
Ferro,mg,2.35
Magnesio,mg,55.0
Zinco,mg,1.58
Rame,mg,0.205
Manganese,mg,0.8809999999999999
Selenio,mcg,3.6
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,84.0
"Vitamina A, RAE",mcg_RAE,4.0
Tiamina (Vit. B1),mg,0.245
Riboflavina (Vit. B2),mg,0.071
Niacina (Vit. B3),mg,0.8109999999999999
Acido Pantotenico (Vit. B5),mg,0.237
Piridossina (Vit. B6),mg,0.106
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,187.0
"Folato, DFE",mcg_DFE,187.0
"Folati, totali",mcg,187.0
Cobalamina (Vit. B12),mcg,0.0
Acido ascorbico (Vit. C),mg,4.0
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.063
"Acidi grassi, polinsaturi",g,0.297
"Acidi grassi, saturi",g,0.185
Colesterolo,mg,0.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.0
14:0,g,0.002
16:0,g,0.14800000000000002
18:0,g,0.023
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.002
18:1 indifferenziato,g,0.038
20:1,g,0.0
22:1 indifferenziato,g,0.023
Grassi polinsaturi,,
18:2 indifferenziato,g,0.168
18:3 indifferenziato,g,0.122
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Arginina,g,0.629
Cistina,g,0.134
Fenilalanina,g,0.493
Isoleucina,g,0.48100000000000004
Istidina,g,0.29
Leucina,g,0.64
Lisina,g,0.59
Metionina,g,0.128
Tirosina,g,0.368
Treonina,g,0.335
Triptofano,g,0.10300000000000001
Valina,g,0.52
Altro,,
Alcol etilico,g,0.0
