0,1,2
Calorie,kcal,203.0
Calorie,kj,849.0
Grassi,g,5.09
Carboidrati,g,0.0
Proteine,g,36.71
Fibre,g,0.0
Acqua,g,56.18
Ceneri,g,1.97
Minerali,,
Calcio,mg,9.0
Sodio,mg,67.0
Fosforo,mg,252.0
Potassio,mg,387.0
Ferro,mg,1.32
Magnesio,mg,30.0
Zinco,mg,4.03
Rame,mg,0.142
Manganese,mg,0.04
Selenio,mcg,15.6
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,0.0
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.06
Riboflavina (Vit. B2),mg,0.36
Niacina (Vit. B3),mg,10.72
Acido Pantotenico (Vit. B5),mg,1.04
Piridossina (Vit. B6),mg,0.37
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,18.0
"Folato, DFE",mcg_DFE,18.0
"Folati, totali",mcg,18.0
Cobalamina (Vit. B12),mcg,1.19
Acido ascorbico (Vit. C),mg,0.0
Alpha-tocoferolo (Vit. E),mg,0.5
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,1.84
"Acidi grassi, polinsaturi",g,0.41
"Acidi grassi, saturi",g,1.92
Colesterolo,mg,135.0
Grassi saturi,,
10:0,g,0.0
12:0,g,0.01
14:0,g,0.16
16:0,g,1.04
18:0,g,0.64
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.2
18:1 indifferenziato,g,1.6
Grassi polinsaturi,,
18:2 indifferenziato,g,0.3
18:3 indifferenziato,g,0.03
20:4 indifferenziato,g,0.08
Aminoacidi,,
Acido aspartico,g,3.167
Acido glutammico,g,5.806
Alanina,g,2.1830000000000003
Arginina,g,2.1590000000000003
Cistina,g,0.414
Fenilalanina,g,1.4809999999999999
Glicina,g,1.886
Isoleucina,g,1.808
Istidina,g,1.3319999999999999
Leucina,g,2.9219999999999997
Lisina,g,3.025
Metionina,g,0.857
Prolina,g,1.5330000000000001
Serina,g,1.376
Tirosina,g,1.17
Treonina,g,1.604
Triptofano,g,0.37200000000000005
Valina,g,2.029
Altro,,
