0,1,2
Calorie,kcal,257.0
Calorie,kj,1074.0
Grassi,g,1.62
Carboidrati,g,50.5
Proteine,g,10.02
Fibre,g,2.2
Zuccheri,g,5.05
Acqua,g,36.28
Amido,g,43.6
Ceneri,g,1.57
Minerali,,
Calcio,mg,89.0
Sodio,mg,517.0
Fosforo,mg,87.0
Potassio,mg,75.0
Ferro,mg,6.05
Magnesio,mg,22.0
Zinco,mg,1.9
Rame,mg,0.13
Manganese,mg,0.515
Selenio,mcg,22.8
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,0.0
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.601
Riboflavina (Vit. B2),mg,0.26
Niacina (Vit. B3),mg,3.975
Acido Pantotenico (Vit. B5),mg,0.214
Piridossina (Vit. B6),mg,0.066
Acido folico (Vit. B9 o M o Folacina),mcg,116.0
Folato alimentare,mcg,29.0
"Folato, DFE",mcg_DFE,226.0
"Folati, totali",mcg,145.0
Cobalamina (Vit. B12),mcg,0.0
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,1.0
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Alpha-tocoferolo (Vit. E),mg,0.1
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,1.1
Colina totale (Vit. J),mg,15.3
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,52.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.521
"Acidi grassi, polinsaturi",g,0.64
"Acidi grassi, saturi",g,0.39299999999999996
"Acidi grassi, trans",g,0.0
"Acidi grassi, trans-monoenoici",g,0.0
Colesterolo,mg,0.0
Fitosteroli,mg,0.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.0
13:0,g,0.0
14:0,g,0.01
15:0,g,0.0
16:0,g,0.267
17:0,g,0.005
18:0,g,0.111
20:0,g,0.0
22:0,g,0.0
24:0,g,0.0
Grassi monoinsaturi,,
14:1,g,0.002
15:1,g,0.0
16:1 indifferenziato,g,0.017
17:1,g,0.005
18:1 c,g,0.496
18:1 indifferenziato,g,0.496
18:1 t,g,0.0
20:1,g,0.0
22:1 indifferenziato,g,0.0
24:1 c,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.575
18:3 indifferenziato,g,0.064
"18:3 n-3 c,c,c",g,0.064
"18:3 n-6 c,c,c",g,0.0
18:4,g,0.0
"20:2 n-6 c,c",g,0.0
20:3 indifferenziato,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,0.478
Acido glutammico,g,3.5039999999999996
Alanina,g,0.34700000000000003
Arginina,g,0.384
Cistina,g,0.225
Fenilalanina,g,0.519
Glicina,g,0.373
Isoleucina,g,0.40399999999999997
Istidina,g,0.22699999999999998
Leucina,g,0.735
Lisina,g,0.251
Metionina,g,0.188
Prolina,g,1.18
Serina,g,0.508
Tirosina,g,0.301
Treonina,g,0.301
Triptofano,g,0.124
Valina,g,0.456
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
