0,1,2
Calorie,kcal,19.0
Calorie,kj,79.0
Grassi,g,0.4
Carboidrati,g,2.33
Proteine,g,3.15
Acqua,g,92.88
Ceneri,g,1.24
Minerali,,
Calcio,mg,39.0
Sodio,mg,11.0
Fosforo,mg,104.0
Potassio,mg,436.0
Ferro,mg,2.22
Magnesio,mg,38.0
Zinco,mg,0.2
Rame,mg,0.133
Manganese,mg,0.355
Selenio,mcg,0.9
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,1942.0
"Vitamina A, RAE",mcg_RAE,97.0
Tiamina (Vit. B1),mg,0.094
Riboflavina (Vit. B2),mg,0.128
Niacina (Vit. B3),mg,0.92
Acido Pantotenico (Vit. B5),mg,0.042
Piridossina (Vit. B6),mg,0.207
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,36.0
"Folato, DFE",mcg_DFE,36.0
"Folati, totali",mcg,36.0
Cobalamina (Vit. B12),mcg,0.0
Acido ascorbico (Vit. C),mg,11.0
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.052000000000000005
"Acidi grassi, polinsaturi",g,0.022000000000000002
"Acidi grassi, saturi",g,0.207
Colesterolo,mg,0.0
Grassi saturi,,
12:0,g,0.004
14:0,g,0.026000000000000002
16:0,g,0.146
18:0,g,0.011000000000000001
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.026000000000000002
18:1 indifferenziato,g,0.025
Grassi polinsaturi,,
18:2 indifferenziato,g,0.01
18:3 indifferenziato,g,0.012
Aminoacidi,,
Arginina,g,0.217
Cistina,g,0.032
Fenilalanina,g,0.171
Isoleucina,g,0.156
Istidina,g,0.05
Leucina,g,0.318
Lisina,g,0.2
Metionina,g,0.054000000000000006
Tirosina,g,0.156
Treonina,g,0.156
Triptofano,g,0.040999999999999995
Valina,g,0.18100000000000002
Altro,,
