0,1,2
Calorie,kcal,207.0
Calorie,kj,868.0
Grassi,g,11.0
Carboidrati,g,23.6
Proteine,g,3.5
Fibre,g,0.7
Zuccheri,g,21.22
Acqua,g,61.0
Ceneri,g,0.9
Minerali,,
Calcio,mg,128.0
Sodio,mg,80.0
Fosforo,mg,105.0
Potassio,mg,199.0
Ferro,mg,0.09
Magnesio,mg,14.0
Zinco,mg,0.69
Rame,mg,0.023
Fluoro,mcg,15.4
Manganese,mg,0.008
Selenio,mcg,1.8
Vitamine,,
Retinolo (Vit. A),mcg,116.0
"Vitamina A, IU",IU,421.0
"Vitamina A, RAE",mcg_RAE,118.0
Tiamina (Vit. B1),mg,0.040999999999999995
Riboflavina (Vit. B2),mg,0.24
Niacina (Vit. B3),mg,0.11599999999999999
Acido Pantotenico (Vit. B5),mg,0.581
Piridossina (Vit. B6),mg,0.048
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,5.0
"Folato, DFE",mcg_DFE,5.0
"Folati, totali",mcg,5.0
Cobalamina (Vit. B12),mcg,0.39
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.6
Vitamina D (D2+D3),mcg,0.2
Vitamina D3,mcg,0.2
Colecalcifenolo (Vit. D),IU,8.0
Alpha-tocoferolo (Vit. E),mg,0.3
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,0.3
Colina totale (Vit. J),mg,26.0
"Carotene, beta",mcg,19.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,2.969
"Acidi grassi, polinsaturi",g,0.452
"Acidi grassi, saturi",g,6.79
Colesterolo,mg,44.0
Grassi saturi,,
4:0,g,0.36
6:0,g,0.21
8:0,g,0.12
10:0,g,0.28
12:0,g,0.31
13:0,g,0.0
14:0,g,1.13
15:0,g,0.0
16:0,g,3.06
17:0,g,0.0
18:0,g,1.3159999999999998
20:0,g,0.0
22:0,g,0.0
24:0,g,0.0
Grassi monoinsaturi,,
14:1,g,0.0
16:1 indifferenziato,g,0.20600000000000002
18:1 indifferenziato,g,2.763
20:1,g,0.0
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.275
18:3 indifferenziato,g,0.175
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.003
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,0.25
Acido glutammico,g,0.6809999999999999
Alanina,g,0.121
Arginina,g,0.125
Cistina,g,0.028999999999999998
Fenilalanina,g,0.157
Glicina,g,0.09300000000000001
Isoleucina,g,0.195
Istidina,g,0.08800000000000001
Leucina,g,0.316
Lisina,g,0.258
Metionina,g,0.081
Prolina,g,0.326
Serina,g,0.177
Tirosina,g,0.155
Treonina,g,0.146
Triptofano,g,0.045
Valina,g,0.217
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
