0,1,2
Calorie,kcal,283.0
Calorie,kj,1184.0
Grassi,g,16.18
Carboidrati,g,21.26
Proteine,g,13.25
Acqua,g,47.31
Ceneri,g,2.0
Minerali,,
Calcio,mg,33.0
Sodio,mg,526.0
Fosforo,mg,128.0
Potassio,mg,194.0
Ferro,mg,2.57
Magnesio,mg,19.0
Zinco,mg,1.03
Rame,mg,0.127
Manganese,mg,0.26
Selenio,mcg,22.2
Vitamine,,
"Vitamina A, IU",IU,55.0
Betaina,mg,28.5
Tiamina (Vit. B1),mg,0.18
Riboflavina (Vit. B2),mg,0.13
Niacina (Vit. B3),mg,3.74
Acido Pantotenico (Vit. B5),mg,0.33
Piridossina (Vit. B6),mg,0.11
Acido folico (Vit. B9 o M o Folacina),mcg,39.0
Folato alimentare,mcg,16.0
"Folato, DFE",mcg_DFE,82.0
"Folati, totali",mcg,55.0
Cobalamina (Vit. B12),mcg,0.21
Acido ascorbico (Vit. C),mg,4.9
Colina totale (Vit. J),mg,35.3
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,5.72
"Acidi grassi, polinsaturi",g,4.606
"Acidi grassi, saturi",g,4.685
Colesterolo,mg,33.0
Grassi saturi,,
10:0,g,0.003
12:0,g,0.006
14:0,g,0.16
16:0,g,3.0180000000000002
18:0,g,1.4080000000000001
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.541
18:1 indifferenziato,g,5.127999999999999
Grassi polinsaturi,,
18:2 indifferenziato,g,4.0
18:3 indifferenziato,g,0.527
20:4 indifferenziato,g,0.079
Aminoacidi,,
Acido aspartico,g,1.077
Acido glutammico,g,2.44
Alanina,g,0.67
Arginina,g,0.743
Cistina,g,0.183
Fenilalanina,g,0.5539999999999999
Glicina,g,0.622
Isoleucina,g,0.6659999999999999
Istidina,g,0.38299999999999995
Leucina,g,0.978
Lisina,g,0.958
Metionina,g,0.33399999999999996
Prolina,g,0.732
Serina,g,0.504
Tirosina,g,0.418
Treonina,g,0.523
Triptofano,g,0.155
Valina,g,0.659
Altro,,
