0,1,2
Calorie,kcal,114.0
Calorie,kj,477.0
Grassi,g,2.32
Carboidrati,g,0.0
Proteine,g,21.79
Fibre,g,0.0
Acqua,g,74.51
Ceneri,g,1.12
Minerali,,
Calcio,mg,12.0
Sodio,mg,50.0
Fosforo,mg,226.0
Potassio,mg,378.0
Ferro,mg,3.2
Magnesio,mg,29.0
Selenio,mcg,9.4
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,0.0
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.03
Riboflavina (Vit. B2),mg,0.06
Niacina (Vit. B3),mg,6.5
Acido ascorbico (Vit. C),mg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.63
"Acidi grassi, polinsaturi",g,0.45
"Acidi grassi, saturi",g,0.69
Colesterolo,mg,81.0
Grassi saturi,,
14:0,g,0.06
16:0,g,0.52
18:0,g,0.11
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.08
18:1 indifferenziato,g,0.54
Grassi polinsaturi,,
18:2 indifferenziato,g,0.36
18:3 indifferenziato,g,0.09
Aminoacidi,,
Acido aspartico,g,2.129
Acido glutammico,g,3.4960000000000004
Alanina,g,1.315
Arginina,g,1.3459999999999999
Cistina,g,0.27399999999999997
Fenilalanina,g,0.895
Glicina,g,1.183
Isoleucina,g,1.034
Istidina,g,0.611
Leucina,g,1.6980000000000002
Lisina,g,1.9080000000000001
Metionina,g,0.545
Prolina,g,1.065
Serina,g,0.966
Tirosina,g,0.7759999999999999
Treonina,g,0.975
Triptofano,g,0.28800000000000003
Valina,g,1.1079999999999999
Altro,,
