0,1,2
Calorie,kcal,248.0
Calorie,kj,1038.0
Grassi,g,14.65
Carboidrati,g,0.0
Proteine,g,27.09
Fibre,g,0.0
Zuccheri,g,0.0
Acqua,g,57.51
Ceneri,g,1.21
Minerali,,
Calcio,mg,19.0
Sodio,mg,59.0
Fosforo,mg,242.0
Potassio,mg,408.0
Ferro,mg,0.99
Magnesio,mg,26.0
Zinco,mg,2.32
Rame,mg,0.055999999999999994
Manganese,mg,0.011000000000000001
Selenio,mcg,33.4
Vitamine,,
Retinolo (Vit. A),mcg,3.0
"Vitamina A, IU",IU,9.0
Betaina,mg,3.6
"Vitamina A, RAE",mcg_RAE,3.0
Tiamina (Vit. B1),mg,0.988
Riboflavina (Vit. B2),mg,0.313
Niacina (Vit. B3),mg,5.572
Acido Pantotenico (Vit. B5),mg,0.76
Piridossina (Vit. B6),mg,0.516
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,6.0
"Folato, DFE",mcg_DFE,6.0
"Folati, totali",mcg,6.0
Cobalamina (Vit. B12),mcg,0.71
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.6
Vitamina D (D2+D3),mcg,1.0
Vitamina D3,mcg,1.0
Colecalcifenolo (Vit. D),IU,42.0
Alpha-tocoferolo (Vit. E),mg,0.19
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,0.0
Colina totale (Vit. J),mg,93.1
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,6.51
"Acidi grassi, polinsaturi",g,1.21
"Acidi grassi, saturi",g,5.37
Colesterolo,mg,82.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.01
12:0,g,0.01
14:0,g,0.19
16:0,g,3.31
18:0,g,1.75
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.46
18:1 indifferenziato,g,5.86
20:1,g,0.13
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,1.07
18:3 indifferenziato,g,0.03
18:4,g,0.0
20:4 indifferenziato,g,0.06
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,2.504
Acido glutammico,g,4.218
Alanina,g,1.5819999999999999
Arginina,g,1.693
Cistina,g,0.344
Fenilalanina,g,1.08
Glicina,g,1.327
Isoleucina,g,1.261
Istidina,g,1.073
Leucina,g,2.168
Lisina,g,2.432
Metionina,g,0.713
Prolina,g,1.11
Serina,g,1.119
Tirosina,g,0.938
Treonina,g,1.232
Triptofano,g,0.341
Valina,g,1.466
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
