0,1,2
Calorie,kcal,59.0
Calorie,kj,247.0
Grassi,g,1.1
Carboidrati,g,9.4
Proteine,g,2.5
Fibre,g,1.1
Zuccheri,g,2.43
Acqua,g,86.7
Ceneri,g,0.3
Minerali,,
Calcio,mg,14.0
Sodio,mg,35.0
Fosforo,mg,44.0
Potassio,mg,72.0
Ferro,mg,0.36
Magnesio,mg,7.0
Zinco,mg,0.36
Rame,mg,0.039
Selenio,mcg,8.4
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,691.0
"Vitamina A, RAE",mcg_RAE,35.0
Tiamina (Vit. B1),mg,0.048
Riboflavina (Vit. B2),mg,0.055
Niacina (Vit. B3),mg,0.7509999999999999
Piridossina (Vit. B6),mg,0.047
Acido folico (Vit. B9 o M o Folacina),mcg,3.0
Folato alimentare,mcg,7.0
"Folato, DFE",mcg_DFE,11.0
"Folati, totali",mcg,9.0
Cobalamina (Vit. B12),mcg,0.24
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,1.5
Vitamina D (D2+D3),mcg,0.0
Vitamina D3,mcg,0.0
Colecalcifenolo (Vit. D),IU,1.0
Alpha-tocoferolo (Vit. E),mg,0.81
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,6.7
Colina totale (Vit. J),mg,10.4
"Carotene, beta",mcg,338.0
"Carotene, alfa",mcg,154.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,250.0
Luteina + zeaxantina,mcg,12.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.447
"Acidi grassi, polinsaturi",g,0.079
"Acidi grassi, saturi",g,0.41100000000000003
Colesterolo,mg,4.0
Grassi saturi,,
4:0,g,0.001
6:0,g,0.0
8:0,g,0.0
10:0,g,0.001
12:0,g,0.001
14:0,g,0.028999999999999998
16:0,g,0.24100000000000002
18:0,g,0.11900000000000001
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.038
18:1 indifferenziato,g,0.392
20:1,g,0.001
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.066
18:3 indifferenziato,g,0.006999999999999999
18:4,g,0.0
20:4 indifferenziato,g,0.004
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,0.198
Acido glutammico,g,0.619
Alanina,g,0.128
Arginina,g,0.133
Cistina,g,0.034
Fenilalanina,g,0.11199999999999999
Glicina,g,0.126
Isoleucina,g,0.11800000000000001
Istidina,g,0.064
Leucina,g,0.198
Lisina,g,0.149
Metionina,g,0.039
Prolina,g,0.201
Serina,g,0.10400000000000001
Tirosina,g,0.08199999999999999
Treonina,g,0.09
Triptofano,g,0.027999999999999997
Valina,g,0.127
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
