0,1,2
Calorie,kcal,205.0
Calorie,kj,856.0
Grassi,g,6.77
Carboidrati,g,0.0
Proteine,g,33.59
Fibre,g,0.0
Zuccheri,g,0.0
Acqua,g,59.38
Ceneri,g,0.98
Minerali,,
Calcio,mg,20.0
Sodio,mg,57.0
Fosforo,mg,208.0
Potassio,mg,275.0
Ferro,mg,2.78
Magnesio,mg,22.0
Zinco,mg,8.01
Rame,mg,0.105
Manganese,mg,0.011000000000000001
Selenio,mcg,32.5
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,0.0
Betaina,mg,16.8
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.063
Riboflavina (Vit. B2),mg,0.158
Niacina (Vit. B3),mg,4.175
Acido Pantotenico (Vit. B5),mg,0.5720000000000001
Piridossina (Vit. B6),mg,0.285
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,9.0
"Folato, DFE",mcg_DFE,9.0
"Folati, totali",mcg,9.0
Cobalamina (Vit. B12),mcg,1.92
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.0
Alpha-tocoferolo (Vit. E),mg,0.43
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,1.5
Colina totale (Vit. J),mg,127.9
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Tocoferolo beta,mg,0.0
Tocoferolo gamma,mg,0.0
Tocoferolo delta,mg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,2.9130000000000003
"Acidi grassi, polinsaturi",g,0.25
"Acidi grassi, saturi",g,2.6660000000000004
Colesterolo,mg,93.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.017
12:0,g,0.015
14:0,g,0.21100000000000002
16:0,g,1.6280000000000001
18:0,g,0.797
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.27699999999999997
18:1 indifferenziato,g,2.625
20:1,g,0.012
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.171
18:3 indifferenziato,g,0.068
18:4,g,0.0
20:4 indifferenziato,g,0.012
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,3.06
Acido glutammico,g,5.043
Alanina,g,2.042
Arginina,g,2.1719999999999997
Cistina,g,0.433
Fenilalanina,g,1.327
Glicina,g,2.045
Idrossiprolina,g,0.353
Isoleucina,g,1.528
Istidina,g,1.072
Leucina,g,2.6719999999999997
Lisina,g,2.839
Metionina,g,0.875
Prolina,g,1.601
Serina,g,1.3230000000000002
Tirosina,g,1.07
Treonina,g,1.3419999999999999
Triptofano,g,0.221
Valina,g,1.666
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
