0,1,2
Calorie,kcal,74.0
Calorie,kj,311.0
Grassi,g,0.1
Carboidrati,g,17.23
Proteine,g,2.6
Fibre,g,4.9
Acqua,g,79.1
Ceneri,g,0.97
Minerali,,
Calcio,mg,45.0
Sodio,mg,40.0
Fosforo,mg,100.0
Potassio,mg,556.0
Ferro,mg,1.16
Magnesio,mg,23.0
Zinco,mg,0.39
Rame,mg,0.257
Manganese,mg,0.261
Selenio,mcg,0.7
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,0.0
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.16
Riboflavina (Vit. B2),mg,0.22
Niacina (Vit. B3),mg,0.4
Acido Pantotenico (Vit. B5),mg,0.377
Piridossina (Vit. B6),mg,0.258
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,13.0
"Folato, DFE",mcg_DFE,13.0
"Folati, totali",mcg,13.0
Cobalamina (Vit. B12),mcg,0.0
Acido ascorbico (Vit. C),mg,44.0
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.02
"Acidi grassi, polinsaturi",g,0.02
"Acidi grassi, saturi",g,0.03
Colesterolo,mg,0.0
Grassi saturi,,
14:0,g,0.0
16:0,g,0.027999999999999997
18:0,g,0.001
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.002
18:1 indifferenziato,g,0.013999999999999999
20:1,g,0.002
Grassi polinsaturi,,
18:2 indifferenziato,g,0.013999999999999999
18:3 indifferenziato,g,0.006
Aminoacidi,,
Acido aspartico,g,0.369
Acido glutammico,g,0.139
Alanina,g,0.054000000000000006
Arginina,g,0.08800000000000001
Cistina,g,0.022000000000000002
Fenilalanina,g,0.047
Glicina,g,0.156
Isoleucina,g,0.054000000000000006
Istidina,g,0.038
Leucina,g,0.069
Lisina,g,0.094
Metionina,g,0.022000000000000002
Prolina,g,0.136
Serina,g,0.06
Tirosina,g,0.028999999999999998
Treonina,g,0.051
Triptofano,g,0.02
Valina,g,0.055
Altro,,
Caffeina,mg,0.0
Teobromina,mg,0.0
