0,1,2
Calorie,kcal,262.0
Calorie,kj,1096.0
Grassi,g,17.81
Carboidrati,g,0.0
Proteine,g,23.85
Fibre,g,0.0
Acqua,g,53.27
Ceneri,g,1.53
Minerali,,
Calcio,mg,15.0
Sodio,mg,83.0
Fosforo,mg,278.0
Potassio,mg,401.0
Ferro,mg,1.57
Magnesio,mg,97.0
Zinco,mg,0.94
Rame,mg,0.094
Manganese,mg,0.02
Selenio,mcg,51.6
Vitamine,,
Retinolo (Vit. A),mcg,54.0
"Vitamina A, IU",IU,180.0
"Vitamina A, RAE",mcg_RAE,54.0
Tiamina (Vit. B1),mg,0.159
Riboflavina (Vit. B2),mg,0.41200000000000003
Niacina (Vit. B3),mg,6.85
Acido Pantotenico (Vit. B5),mg,0.99
Piridossina (Vit. B6),mg,0.46
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,2.0
"Folato, DFE",mcg_DFE,2.0
"Folati, totali",mcg,2.0
Cobalamina (Vit. B12),mcg,19.0
Acido ascorbico (Vit. C),mg,0.4
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,7.006
"Acidi grassi, polinsaturi",g,4.3
"Acidi grassi, saturi",g,4.176
Colesterolo,mg,75.0
Grassi saturi,,
14:0,g,0.5920000000000001
16:0,g,1.375
18:0,g,0.256
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.534
18:1 indifferenziato,g,1.202
20:1,g,1.598
22:1 indifferenziato,g,2.498
Grassi polinsaturi,,
18:2 indifferenziato,g,0.147
18:3 indifferenziato,g,0.113
20:4 indifferenziato,g,0.051
20:5 n-3,g,0.504
22:5 n-3,g,0.106
22:6 n-3,g,0.6990000000000001
Aminoacidi,,
Acido aspartico,g,2.4419999999999997
Acido glutammico,g,3.5589999999999997
Alanina,g,1.442
Arginina,g,1.4269999999999998
Cistina,g,0.256
Fenilalanina,g,0.9309999999999999
Glicina,g,1.145
Isoleucina,g,1.099
Istidina,g,0.7020000000000001
Leucina,g,1.9380000000000002
Lisina,g,2.19
Metionina,g,0.706
Prolina,g,0.843
Serina,g,0.973
Tirosina,g,0.805
Treonina,g,1.045
Triptofano,g,0.267
Valina,g,1.228
Altro,,
