0,1,2
Calorie,kcal,29.0
Calorie,kj,120.0
Grassi,g,0.57
Carboidrati,g,4.21
Proteine,g,3.63
Fibre,g,2.9
Zuccheri,g,0.65
Acqua,g,90.17
Amido,g,0.0
Ceneri,g,1.43
Minerali,,
Calcio,mg,129.0
Sodio,mg,74.0
Fosforo,mg,49.0
Potassio,mg,346.0
Ferro,mg,1.89
Magnesio,mg,75.0
Zinco,mg,0.56
Rame,mg,0.14400000000000002
Manganese,mg,0.7040000000000001
Selenio,mcg,6.0
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,11726.0
Betaina,mg,117.4
"Vitamina A, RAE",mcg_RAE,586.0
Tiamina (Vit. B1),mg,0.094
Riboflavina (Vit. B2),mg,0.22399999999999998
Niacina (Vit. B3),mg,0.507
Acido Pantotenico (Vit. B5),mg,0.094
Piridossina (Vit. B6),mg,0.172
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,145.0
"Folato, DFE",mcg_DFE,145.0
"Folati, totali",mcg,145.0
Cobalamina (Vit. B12),mcg,0.0
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,5.5
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Alpha-tocoferolo (Vit. E),mg,2.9
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,372.0
Colina totale (Vit. J),mg,22.1
"Carotene, beta",mcg,7035.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,12651.0
Tocoferolo beta,mg,0.01
Tocoferolo gamma,mg,0.14
Tocoferolo delta,mg,0.0
Zuccheri,,
Destrosio,g,0.24
Fruttosio,g,0.18
Galattosio,g,0.0
Lattosio,g,0.0
Maltosio,g,0.0
Saccarosio,g,0.24
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.0
"Acidi grassi, polinsaturi",g,0.08199999999999999
"Acidi grassi, saturi",g,0.040999999999999995
Colesterolo,mg,0.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.0
14:0,g,0.0
15:0,g,0.0
16:0,g,0.040999999999999995
17:0,g,0.0
18:0,g,0.0
20:0,g,0.0
22:0,g,0.0
24:0,g,0.0
Grassi monoinsaturi,,
14:1,g,0.0
16:1 indifferenziato,g,0.0
18:1 indifferenziato,g,0.0
20:1,g,0.0
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.0
18:3 indifferenziato,g,0.08199999999999999
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Acido aspartico,g,0.429
Acido glutammico,g,0.508
Alanina,g,0.218
Arginina,g,0.48100000000000004
Cistina,g,0.028999999999999998
Fenilalanina,g,0.207
Glicina,g,0.221
Isoleucina,g,0.126
Istidina,g,0.049
Leucina,g,0.20199999999999999
Lisina,g,0.251
Metionina,g,0.052000000000000005
Prolina,g,0.198
Serina,g,0.17
Tirosina,g,0.215
Treonina,g,0.217
Triptofano,g,0.1
Valina,g,0.17800000000000002
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
