0,1,2
Calorie,kcal,47.0
Calorie,kj,197.0
Grassi,g,0.1
Carboidrati,g,11.6
Proteine,g,0.2
Fibre,g,0.1
Zuccheri,g,11.52
Acqua,g,87.9
Ceneri,g,0.2
Minerali,,
Calcio,mg,7.0
Sodio,mg,14.0
Fosforo,mg,6.0
Potassio,mg,61.0
Ferro,mg,0.31
Magnesio,mg,6.0
Zinco,mg,0.06
Rame,mg,0.045
Fluoro,mcg,49.2
Manganese,mg,0.413
Selenio,mcg,0.1
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,2.0
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.03
Riboflavina (Vit. B2),mg,0.016
Niacina (Vit. B3),mg,0.267
Acido Pantotenico (Vit. B5),mg,0.053
Piridossina (Vit. B6),mg,0.042
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,9.0
"Folato, DFE",mcg_DFE,9.0
"Folati, totali",mcg,9.0
Cobalamina (Vit. B12),mcg,0.0
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,46.0
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Alpha-tocoferolo (Vit. E),mg,0.01
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,0.1
Colina totale (Vit. J),mg,0.5
"Carotene, beta",mcg,1.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,1.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.01
"Acidi grassi, polinsaturi",g,0.027999999999999997
"Acidi grassi, saturi",g,0.006
Colesterolo,mg,0.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.0
14:0,g,0.0
16:0,g,0.005
18:0,g,0.002
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.001
18:1 indifferenziato,g,0.009000000000000001
20:1,g,0.0
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.017
18:3 indifferenziato,g,0.011000000000000001
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
