0,1,2
Calorie,kcal,43.0
Calorie,kj,179.0
Grassi,g,0.1
Carboidrati,g,10.5
Proteine,g,0.2
Fibre,g,0.1
Zuccheri,g,9.59
Acqua,g,89.0
Ceneri,g,0.3
Minerali,,
Calcio,mg,3.0
Sodio,mg,0.0
Fosforo,mg,4.0
Potassio,mg,97.0
Ferro,mg,0.56
Magnesio,mg,3.0
Zinco,mg,0.03
Rame,mg,0.037000000000000005
Fluoro,mcg,19.0
Selenio,mcg,0.3
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,63.0
"Vitamina A, RAE",mcg_RAE,3.0
Tiamina (Vit. B1),mg,0.008
Riboflavina (Vit. B2),mg,0.011000000000000001
Niacina (Vit. B3),mg,0.213
Acido Pantotenico (Vit. B5),mg,0.08199999999999999
Piridossina (Vit. B6),mg,0.022000000000000002
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,1.0
"Folato, DFE",mcg_DFE,1.0
"Folati, totali",mcg,1.0
Cobalamina (Vit. B12),mcg,0.0
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,58.5
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Alpha-tocoferolo (Vit. E),mg,0.15
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,0.5
Colina totale (Vit. J),mg,2.5
"Carotene, beta",mcg,31.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,13.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,29.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.002
"Acidi grassi, polinsaturi",g,0.031
"Acidi grassi, saturi",g,0.018000000000000002
Colesterolo,mg,0.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.0
14:0,g,0.0
16:0,g,0.016
18:0,g,0.002
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.0
18:1 indifferenziato,g,0.002
20:1,g,0.0
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.027000000000000003
18:3 indifferenziato,g,0.004
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,0.0
