0,1,2
Calorie,kcal,315.0
Calorie,kj,1320.0
Grassi,g,0.0
Carboidrati,g,58.66
Proteine,g,20.21
Fibre,g,8.5
Zuccheri,g,5.53
Acqua,g,5.09
Amido,g,0.0
Ceneri,g,16.04
Minerali,,
Calcio,mg,118.0
Sodio,mg,72.0
Fosforo,mg,239.0
Potassio,mg,6040.0
Ferro,mg,2.26
Magnesio,mg,272.0
Zinco,mg,1.69
Rame,mg,0.55
Manganese,mg,133.0
Selenio,mcg,5.3
Vitamine,,
Retinolo (Vit. A),mcg,0.0
"Vitamina A, IU",IU,0.0
"Vitamina A, RAE",mcg_RAE,0.0
Tiamina (Vit. B1),mg,0.0
Riboflavina (Vit. B2),mg,0.985
Niacina (Vit. B3),mg,10.8
Acido Pantotenico (Vit. B5),mg,4.53
Piridossina (Vit. B6),mg,0.35600000000000004
Acido folico (Vit. B9 o M o Folacina),mcg,0.0
Folato alimentare,mcg,103.0
"Folato, DFE",mcg_DFE,103.0
"Folati, totali",mcg,103.0
Cobalamina (Vit. B12),mcg,0.0
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,0.0
Vitamina D (D2+D3),mcg,0.0
Colecalcifenolo (Vit. D),IU,0.0
Alpha-tocoferolo (Vit. E),mg,0.0
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,0.0
Colina totale (Vit. J),mg,118.3
"Carotene, beta",mcg,0.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,0.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,0.0
"Acidi grassi, polinsaturi",g,0.0
"Acidi grassi, saturi",g,0.0
Colesterolo,mg,0.0
Grassi saturi,,
4:0,g,0.0
6:0,g,0.0
8:0,g,0.0
10:0,g,0.0
12:0,g,0.0
14:0,g,0.0
16:0,g,0.0
18:0,g,0.0
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.0
18:1 indifferenziato,g,0.0
20:1,g,0.0
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,0.0
18:3 indifferenziato,g,0.0
18:4,g,0.0
20:4 indifferenziato,g,0.0
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.0
Aminoacidi,,
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,3680.0
Teobromina,mg,71.0
