0,1,2
Calorie,kcal,264.0
Calorie,kj,1105.0
Grassi,g,12.5
Carboidrati,g,38.0
Proteine,g,2.4
Fibre,g,1.2
Zuccheri,g,32.94
Acqua,g,46.1
Ceneri,g,1.0
Minerali,,
Calcio,mg,48.0
Sodio,mg,261.0
Fosforo,mg,105.0
Potassio,mg,166.0
Ferro,mg,1.1
Magnesio,mg,19.0
Zinco,mg,0.28
Rame,mg,0.057
Manganese,mg,0.067
Selenio,mcg,3.4
Vitamine,,
Retinolo (Vit. A),mcg,66.0
"Vitamina A, IU",IU,440.0
"Vitamina A, RAE",mcg_RAE,77.0
Tiamina (Vit. B1),mg,0.03
Riboflavina (Vit. B2),mg,0.19
Niacina (Vit. B3),mg,0.7
Acido Pantotenico (Vit. B5),mg,0.46299999999999997
Piridossina (Vit. B6),mg,0.06
Acido folico (Vit. B9 o M o Folacina),mcg,3.0
Folato alimentare,mcg,8.0
"Folato, DFE",mcg_DFE,13.0
"Folati, totali",mcg,11.0
Cobalamina (Vit. B12),mcg,0.21
"Vitamina B-12, aggiunta",mcg,0.0
Acido ascorbico (Vit. C),mg,13.6
Vitamina D (D2+D3),mcg,0.3
Colecalcifenolo (Vit. D),IU,10.0
Alpha-tocoferolo (Vit. E),mg,0.75
"Vitamina E, aggiunta",mg,0.0
Fillochinone (Vit. K),mcg,2.4
Colina totale (Vit. J),mg,25.1
"Carotene, beta",mcg,131.0
"Carotene, alfa",mcg,0.0
"Criptoxantina, beta",mcg,0.0
Licopene,mcg,0.0
Luteina + zeaxantina,mcg,33.0
Zuccheri,,
Lipidi,,
"Acidi grassi, monoinsaturi",g,4.4
"Acidi grassi, polinsaturi",g,2.34
"Acidi grassi, saturi",g,5.066
Colesterolo,mg,42.0
Grassi saturi,,
4:0,g,0.212
6:0,g,0.124
8:0,g,0.073
10:0,g,0.163
12:0,g,0.18100000000000002
14:0,g,0.66
16:0,g,2.384
18:0,g,1.123
Grassi monoinsaturi,,
16:1 indifferenziato,g,0.183
18:1 indifferenziato,g,4.113
20:1,g,0.001
22:1 indifferenziato,g,0.0
Grassi polinsaturi,,
18:2 indifferenziato,g,2.084
18:3 indifferenziato,g,0.24
18:4,g,0.0
20:4 indifferenziato,g,0.008
20:5 n-3,g,0.0
22:5 n-3,g,0.0
22:6 n-3,g,0.002
Aminoacidi,,
Acido aspartico,g,0.23199999999999998
Acido glutammico,g,0.42
Alanina,g,0.11800000000000001
Arginina,g,0.111
Cistina,g,0.04
Fenilalanina,g,0.098
Glicina,g,0.11599999999999999
Isoleucina,g,0.109
Istidina,g,0.046
Leucina,g,0.18
Lisina,g,0.14800000000000002
Metionina,g,0.047
Prolina,g,0.17
Serina,g,0.126
Tirosina,g,0.07400000000000001
Treonina,g,0.10400000000000001
Triptofano,g,0.03
Valina,g,0.124
Altro,,
Alcol etilico,g,0.0
Caffeina,mg,0.0
Teobromina,mg,5.0
